-0.284f15-0.28f21-0.277f17-0.275f19-0.266f13...,-0.357f20-0.332f22-0.312f28-0.291f26-0.289f24...,-0.354f03-0.305f05-0.288f12-0.263f07-0.261f01...,'0.442f34+0.431f32+0.28 f27+0.242f25+0.241f29...',-0.506f04+0.444f06+0.322f18-0.306f30+0.256f26...,class
-1.665864,2.051668,-0.064816,-1.710041,-0.009351,1
0.822766,2.579953,1.972302,-1.391004,0.383204,-1
-2.031195,0.747179,-0.83616,-1.106622,-0.1199,1
1.250589,-1.361383,0.739301,2.666417,1.931376,-1
0.01773,1.842726,-0.342761,-2.712173,0.298515,1
2.445852,0.420643,1.903216,-0.259287,0.254569,-1
-1.019057,3.804509,0.086833,-2.985486,-0.055724,1
0.784294,0.03092,3.362904,1.991359,1.157407,-1
-2.898092,3.216192,-0.237257,-2.113877,-0.051278,1
2.564112,0.012566,1.96757,0.447764,1.016721,-1
-2.589485,4.06541,-0.352909,-2.66244,-0.422105,1
-4.637107,1.891535,-0.059621,-3.410519,-1.301084,-1
-3.355586,2.70642,-0.621697,-1.649767,0.107382,1
-4.057968,0.928788,-0.375925,0.823631,0.694002,-1
-3.861533,-1.927455,-0.592209,1.092975,-0.443859,1
-0.128293,1.038677,2.645162,-0.205609,2.948693,-1
-3.087445,-0.954848,-0.563743,0.231688,-0.153354,1
4.589179,-0.067154,2.226658,-1.765002,-3.218681,-1
-0.703569,-1.392684,-0.05504,0.630689,0.003807,1
0.551983,-3.114371,1.709456,1.696659,2.733091,-1
-3.475937,2.028046,-0.81707,-0.861371,-0.260126,1
5.108287,-0.737135,4.102853,1.766205,-3.132783,-1
-2.212342,-0.270921,-0.55342,-0.36578,0.004174,1
3.301229,-0.403703,2.698512,1.321566,-3.864691,-1
-2.851683,1.198715,-0.936759,-0.869974,0.10982,1
-5.09796,6.099887,0.434461,-2.37145,-1.798539,-1
-1.954143,3.400037,-0.433518,-3.007362,-0.422192,1
3.242945,2.408277,3.38372,1.16052,0.796005,-1
-3.056893,-5.926296,-0.115745,1.88407,0.131025,1
0.179584,3.671229,2.565471,1.472593,3.941175,-1
-4.12743,2.983005,-1.072987,-1.470867,-0.165556,1
-4.819112,0.154151,1.233862,1.441785,4.608435,-1
-2.434343,2.563552,-0.256955,-1.686332,0.094883,1
-1.831343,0.812516,0.377886,-2.717991,-1.088436,-1
-3.920595,0.573107,-0.06872,0.124832,1.575223,1
-4.12363,-0.866154,0.885254,1.097575,4.303606,-1
-3.59292,0.755333,-0.825844,-0.340844,-0.204647,1
2.25491,-2.664491,2.506342,1.148212,-2.994077,-1
-2.8034,-0.988728,-0.414828,0.07475,-0.067245,1
-2.460402,-1.762989,-0.160675,0.392308,0.318957,-1
-0.914241,-4.762411,-0.077039,0.537296,0.418794,1
2.789998,2.966369,-0.218808,-0.509307,1.811447,-1
0.200373,-3.605258,-0.273806,0.640642,0.324554,1
-3.22605,1.290325,1.103157,-2.211206,2.320375,-1
-2.95133,3.429283,-0.645013,-2.111625,-0.223315,1
3.799504,1.268162,0.678676,-1.189834,-1.898387,-1
-3.449574,2.023746,-0.844079,-1.050341,-0.288024,1
1.253994,1.72988,1.403446,0.742553,0.564296,-1
-3.271937,0.899027,-0.715508,-0.518835,-0.176984,1
2.358125,0.201303,2.337834,-0.27854,-0.143633,-1
-2.873898,0.203837,-0.208152,-0.495875,0.102697,1
1.130632,0.642945,0.473231,-0.226879,-4.176166,-1
4.721194,3.024326,-6.060672,2.048466,-0.777924,1
2.089147,0.98352,2.772667,-0.286231,5.970806,-1
-3.498105,1.740945,-0.966139,-0.620211,-0.535683,1
7.077386,1.901357,2.462312,0.106894,2.687252,-1
-3.44172,0.901311,-1.351726,-0.539436,-0.433725,1
2.608232,0.98689,2.066465,2.271692,-5.821658,-1
-3.39913,-1.33605,-0.612961,0.793038,0.064328,1
3.636884,-0.825753,3.018585,0.560089,2.867586,-1
-2.599445,-2.598311,-0.449143,0.850044,0.002896,1
1.427584,1.754796,1.79569,-0.513355,1.527839,-1
