0.707f02+0.707f01,-0.707f02+0.707f01,class
0.916314,-1.388741,-1
-1.07052,1.347717,-1
-0.375608,-1.208523,1
0.622241,-0.183805,1
-0.457709,-0.34144,1
0.215611,-0.525383,1
1.69778,-0.366868,-1
-0.554884,-0.531384,1
0.883833,0.997274,-1
-0.352965,-1.021838,1
-0.559037,-0.549862,1
0.537012,0.462935,1
-0.985484,0.937797,-1
0.850673,0.162003,-1
1.3838,-0.511148,1
-0.187689,0.106481,1
0.775269,0.752243,-1
-0.159084,0.569233,1
-0.917275,-1.218466,1
-1.744588,-0.773036,1
0.865505,-0.06923,-1
-1.663985,-0.896071,1
-0.769995,1.252278,-1
-0.33672,-1.261555,-1
-1.208466,0.658249,-1
-1.617279,-0.461886,1
1.187325,0.863508,-1
-1.012757,-1.462435,-1
2.128466,0.148668,1
0.818825,-0.185203,-1
-1.062072,0.875351,-1
-0.876864,0.094688,1
-0.288057,-0.215486,1
-0.049361,2.043619,1
-0.489244,0.585542,-1
1.21551,-0.410748,-1
-1.115988,-1.316774,1
-0.819612,-0.232711,1
1.464387,-0.85481,1
-1.489188,0.801775,-1
-1.026201,-1.562142,-1
0.924182,-0.266516,-1
-2.559888,-0.424483,1
-1.033803,0.663213,-1
-1.066455,-0.89956,1
-0.607427,0.327357,1
-0.231129,1.621445,1
-1.286289,0.184462,-1
1.029597,0.398907,-1
1.380237,-0.868252,-1
1.735966,-0.356965,-1
0.409573,0.303253,-1
0.407912,-1.034506,-1
0.565842,1.980026,-1
0.764388,-0.027517,1
-0.530521,-1.845665,-1
0.537302,-1.230372,-1
-0.340848,0.185244,1
-0.116076,-1.040912,1
0.398144,-0.259415,1
0.05312,1.375384,1
-0.101255,-1.398014,-1
-2.050724,-0.085017,1
-0.378461,-1.516835,-1
-1.322424,-0.71431,1
1.026942,-0.995282,1
1.113029,0.268801,-1
1.19638,-0.882409,1
0.444175,1.479364,1
0.007176,1.619342,1
1.017773,1.103779,-1
1.238532,-1.250364,-1
1.149084,0.157783,-1
0.902396,1.445458,-1
2.397221,0.686112,1
-1.015492,-0.277276,1
1.441136,0.21367,-1
-0.84356,0.966589,-1
-0.054146,-0.054359,1
0.011965,-0.419329,1
-0.904451,-0.012092,-1
0.516906,0.170462,1
0.622946,-0.212797,-1
-1.904432,-1.164802,1
-0.902933,1.303181,-1
0.936973,0.533963,-1
-1.026054,0.29621,-1
0.202893,-0.3981,1
0.851473,1.326655,-1
0.025347,-1.097471,-1
-0.171962,-1.327306,-1
1.16764,-1.264689,-1
-1.632175,-1.041031,1
0.228286,-1.19999,-1
0.580604,0.876188,-1
0.674488,-1.206319,-1
0.526769,-0.301904,1
-0.487152,1.110873,-1
0.618637,-1.050046,-1
-0.818224,-0.560822,1
-0.474598,-1.095389,1
1.401467,-0.663181,-1
1.260898,1.242538,-1
-0.127797,0.075867,1
2.057737,-0.049335,1
-1.031031,-0.043923,1
0.418584,-0.206449,1
1.806112,1.404516,-1
-2.517416,0.127087,1
1.12585,1.434161,-1
-1.527489,-0.664827,1
0.607494,1.118031,1
-0.146348,-0.227072,1
-1.561408,-0.362176,1
-0.438359,1.117241,-1
-1.116574,0.211347,-1
-0.262415,-0.553707,1
-0.105293,1.191517,1
-1.063831,0.986725,-1
-0.757452,-1.095412,1
-0.892525,-1.214928,1
0.646465,-0.578172,-1
-1.235356,-1.367131,-1
0.785625,0.268068,-1
1.399917,-1.484944,1
-0.723536,-1.426349,-1
-0.739803,-1.466657,-1
-0.58355,-1.764348,-1
-1.937593,-0.226435,1
-0.583338,0.915696,-1
-0.098343,-0.348624,1
1.609336,-1.020975,1
0.984303,-0.084777,-1
-1.58481,-1.201548,1
-0.28277,1.357679,1
1.20702,-0.461663,-1
0.495821,1.795458,-1
-0.069217,1.333654,1
-0.104634,0.57843,1
-0.910465,0.843118,-1
-1.073504,-0.609635,1
0.125186,0.593298,1
1.195409,1.138301,-1
-0.820733,0.791433,-1
-0.702166,0.547976,-1
1.192933,0.235572,-1
-2.602304,-0.268916,1
-1.185882,0.099614,-1
1.705521,-0.839941,1
0.224216,0.983645,1
-0.726376,-1.564947,-1
-0.537464,-0.222082,1
-1.43488,-0.983738,1
-1.654713,0.098869,-1
1.066372,0.446995,-1
0.197461,-0.231004,1
0.41376,1.382484,-1
-1.369783,-0.483081,1
0.528924,0.128742,1
-2.185115,-0.530523,1
2.651815,1.011415,1
-2.12716,-0.913786,1
1.372575,0.607539,-1
-0.871948,-0.335957,1
-0.636368,0.975798,-1
0.828829,1.137141,-1
-0.759441,0.584035,-1
-0.319772,-1.561379,-1
1.668774,-0.53729,-1
1.185506,1.105772,-1
-2.729584,-0.212355,1
-1.050838,-0.131609,1
-1.019669,0.564215,-1
0.096116,-0.391744,1
-1.622238,-0.570078,1
-0.900307,-1.263721,-1
-1.33718,0.472969,-1
0.388795,-1.336454,-1
-0.86051,1.232471,-1
-1.683138,-1.668972,-1
1.85975,0.092076,1
-0.35297,-1.089723,1
-0.231894,0.888145,1
-0.473713,1.152595,-1
1.118715,0.635098,-1
-1.189394,0.394489,-1
