0.381f02+0.378f03+0.346f07+0.336f05+0.336f08...,0.907f09-0.255f06-0.229f07+0.166f05-0.142f01...,-0.863f01+0.425f04+0.195f07+0.125f08+0.106f05...,-0.535f06-0.465f04+0.448f08+0.392f05-0.249f09...,-0.671f05+0.649f08+0.251f07-0.137f02+0.128f09...,class
-1.569398,-0.051377,-0.269657,0.015484,0.124409,1
-2.068258,0.237998,0.182971,0.097199,-0.12649,1
-1.92632,0.143899,0.263098,0.092695,-0.023552,1
1.299697,-1.188921,-1.390128,-1.710649,-0.423537,-1
0.76716,-0.955173,-1.122188,0.198878,0.689659,-1
3.948598,-1.124083,0.186678,0.097108,1.666958,-1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.784382,0.0498,0.343225,0.088192,0.079386,1
2.623931,-0.865908,-1.175647,1.598446,0.722532,-1
3.134594,-1.591588,-1.03273,-1.562516,-0.630834,-1
2.418607,-0.764785,0.259269,0.644375,-0.554946,-1
-0.067579,-0.432406,-0.085323,0.040722,0.669372,-1
4.893566,0.338715,0.809239,0.334201,-0.824787,-1
-2.068258,0.237998,0.182971,0.097199,-0.12649,1
5.835782,1.044648,0.453911,-0.70776,1.122771,-1
-1.584233,0.014201,-0.362508,0.077821,-0.013635,1
2.726925,-0.386432,0.376347,0.135371,1.069186,-1
3.019607,-0.631407,-1.453271,1.413326,-1.215989,-1
2.141385,-0.765555,0.920915,0.498709,0.349313,-1
-1.863202,-0.032216,-0.397697,-0.157255,0.324397,1
4.347097,4.537996,-1.549719,1.014806,-0.589842,-1
-2.185679,0.119549,0.521625,-0.048193,0.256862,1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
-1.774454,0.218837,0.311011,0.269937,-0.326478,1
2.88368,-1.742721,-0.099315,-2.365959,-0.09439,-1
-1.549788,-0.029309,0.02406,0.109672,0.066792,1
5.132968,3.39646,-0.495006,-2.18328,0.786012,-1
-1.67689,-0.000788,0.036784,0.051838,0.101898,1
2.570445,0.075442,0.379024,0.91539,-1.64428,-1
-1.706756,-0.040993,0.654726,-0.172377,-0.011421,1
-1.019213,-0.019983,-0.292425,-0.309243,-0.169282,1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
-0.80393,-0.150087,-0.299199,-0.081804,0.374696,1
0.838041,1.29246,-1.256162,0.637721,0.222477,-1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.496351,-0.058455,-0.962665,-0.052721,0.066494,1
2.577844,-1.20554,0.46838,-1.701038,-0.401418,-1
-1.745781,0.086232,-0.736351,-0.011863,-0.058956,1
1.489295,-0.067635,-1.271543,0.062293,-0.722334,-1
-1.01126,0.084286,0.055975,-0.649034,-0.337671,1
0.617846,-0.477328,-1.036052,0.499484,0.139391,1
-1.654671,0.121664,0.549091,0.311435,-0.161149,1
1.388782,4.255194,-2.357773,-0.932158,0.950099,-1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
2.229312,-0.86743,-0.040674,-0.193462,-1.213002,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.711336,0.042722,-0.349783,0.019987,0.021471,1
5.078368,0.416373,-0.429249,-1.777282,-1.123726,-1
4.127836,4.739477,-0.218378,1.850946,-0.272039,-1
1.855468,-1.083347,-1.302024,-1.231614,-1.109368,-1
-1.569398,-0.051377,-0.269657,0.015484,0.124409,1
1.295695,-0.78967,-1.046838,-0.604576,-1.287506,-1
4.563245,4.538153,0.721398,0.433368,-0.123487,-1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
1.301852,-0.573556,0.758284,0.290718,-0.612156,1
1.929833,-0.542561,-1.106651,-0.639326,-0.108693,-1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
0.059899,-0.17167,0.995806,-0.104746,0.480812,1
0.522594,-1.154925,-1.802007,-1.108119,0.796107,-1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
4.973145,-1.359553,-0.235952,0.74891,0.448823,-1
-1.691726,0.06479,-0.056067,0.114176,-0.036147,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.784382,0.0498,0.343225,0.088192,0.079386,1
-1.6869,0.29708,0.590299,0.191114,-0.823149,1
3.830284,-0.055695,-0.193445,0.613281,-1.684597,-1
-1.334803,-0.130486,-0.588822,0.036964,0.111815,1
-1.461906,-0.101965,-0.576097,-0.02087,0.146921,1
-1.334803,-0.130486,-0.588822,0.036964,0.111815,1
3.209789,0.576297,-1.331248,-0.148358,1.078671,-1
2.517032,-0.520575,-0.461568,-2.770505,0.821596,-1
-1.898073,0.076513,0.497002,-0.311831,-0.251446,1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
0.469185,-0.755796,-1.521085,0.011566,0.09362,-1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
3.947073,-1.218364,-0.908998,0.239834,-2.501898,-1
-1.349639,-0.064908,-0.681673,0.099302,-0.02623,1
-1.727704,0.156655,0.174295,-0.26492,-0.094295,1
-1.249375,0.004514,-0.564691,0.158974,-0.080397,1
-0.68943,-0.131009,-0.394747,0.242591,-0.311122,1
-1.475665,0.112353,0.166573,-0.140369,-0.174274,1
-1.853274,0.136821,-0.42991,0.024491,-0.081467,1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
-0.795075,0.339664,1.001902,0.08576,0.643431,1
-2.068258,0.237998,0.182971,0.097199,-0.12649,1
-1.745781,0.086232,-0.736351,-0.011863,-0.058956,1
-2.043741,0.02545,0.601752,-0.052696,0.359801,1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
-1.555584,0.071481,0.386532,0.045481,-0.088922,1
-2.068258,0.237998,0.182971,0.097199,-0.12649,1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
2.015936,-1.211697,-0.803532,-0.919784,-0.923095,-1
-1.816277,0.152032,0.304187,0.239256,0.189142,1
-1.67689,-0.000788,0.036784,0.051838,0.101898,1
0.720177,-0.466777,0.439266,-0.014323,-1.516105,-1
-1.853274,0.136821,-0.42991,0.024491,-0.081467,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-0.815068,0.02529,-0.141416,0.154409,-0.236552,1
-1.853274,0.136821,-0.42991,0.024491,-0.081467,1
-1.512719,0.055478,-0.438586,-0.337628,-0.049272,1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
-2.043741,0.02545,0.601752,-0.052696,0.359801,1
-1.436276,0.325203,0.793406,0.656272,-0.851903,1
-1.728337,0.121038,-0.424909,0.091208,-0.126341,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.784382,0.0498,0.343225,0.088192,0.079386,1
6.068333,1.993578,1.078795,-0.243811,0.140376,-1
-2.043741,0.02545,0.601752,-0.052696,0.359801,1
3.462441,-1.423916,1.551728,-0.054745,1.565907,-1
-1.92632,0.143899,0.263098,0.092695,-0.023552,1
5.602155,-1.712808,0.920135,0.185419,0.654003,-1
-1.366007,0.049026,-0.157594,-0.185606,-0.141995,1
-1.362786,0.431248,0.336715,0.762359,-1.125015,1
2.604379,1.526325,-0.688307,-0.914912,0.107653,-1
-1.683089,-0.024664,-0.115879,-0.38454,-0.206423,1
-1.942688,0.257832,0.787177,-0.192212,-0.139318,1
-1.12523,-0.059413,-0.473975,0.091862,0.18154,1
-1.114796,-0.202255,0.039123,-0.053817,-0.091251,1
-1.845758,0.00259,-0.086255,-0.054184,0.257012,1
-0.756859,0.304636,-0.442929,-0.206092,0.324674,1
-2.327617,0.213648,0.441498,-0.043689,0.153924,1
-1.708785,0.101443,-0.002254,0.202902,0.211654,1
6.468516,1.284113,-0.050328,-0.934464,1.448014,-1
-1.711336,0.042722,-0.349783,0.019987,0.021471,1
-1.243338,0.555392,-0.646803,-0.195184,-0.059749,1
-1.405227,0.00489,-0.745026,-0.373982,-0.02676,1
3.310847,-1.285495,0.735182,-0.150673,-0.367641,-1
-1.459297,-0.001581,-0.357506,0.144538,-0.058508,1
-1.354413,-0.152554,-0.882538,-0.057224,0.169432,1
4.921367,-2.071331,-0.000844,-1.005257,0.757026,-1
-1.736743,0.121444,-0.281028,-0.138392,-0.076625,1
3.900517,-0.970718,1.195578,-0.84995,1.671036,-1
-1.583848,0.085661,0.002748,0.269619,0.166781,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-0.970555,-0.179394,-0.573181,0.299193,0.254297,1
3.830284,-0.055695,-0.193445,0.613281,-1.684597,-1
2.439874,-1.006524,-0.439221,-2.674679,-0.025935,-1
4.571326,-1.490962,0.251897,0.054332,0.213041,-1
-1.613772,-0.176904,-0.624011,-0.198112,0.449847,1
-1.198277,-0.052335,0.219033,0.160067,0.239455,1
-1.711336,0.042722,-0.349783,0.019987,0.021471,1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
2.485195,-0.37668,-0.629545,-2.636947,0.53574,-1
-1.784382,0.0498,0.343225,0.088192,0.079386,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-2.043741,0.02545,0.601752,-0.052696,0.359801,1
1.753969,-1.336432,-0.763596,-1.226081,-0.437251,-1
3.569345,2.50469,1.281579,-2.380618,0.717824,-1
4.896752,-1.334486,1.661308,-0.315596,-2.539485,-1
-1.329092,-0.143615,-0.062353,-0.205774,-0.158147,1
-1.116458,-0.445836,0.608096,0.017486,0.714086,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
-1.790155,-0.039295,-1.090705,-0.225459,0.266482,1
-1.328032,0.426874,-0.627709,-0.165859,0.221264,1
4.910788,-1.344968,-0.436707,0.14685,-2.434636,-1
-1.796609,0.215763,0.468964,0.315938,-0.264087,1
-1.459355,-0.043244,-0.228567,0.162044,0.337104,1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
-0.000427,-0.424376,-0.014037,-0.266119,0.537128,-1
3.261242,-1.301573,1.632414,-1.049877,-0.007413,-1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.252815,-0.188033,-0.424685,-0.332214,0.117615,1
-1.267553,-0.036774,-0.919358,-0.095431,-0.101814,1
-1.698022,-0.044766,0.193092,-0.496647,-0.263082,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
1.308609,0.226263,-0.170634,-1.322299,0.41805,1
3.359671,-0.642548,2.642588,-0.005318,-1.012498,-1
-1.67689,-0.000788,0.036784,0.051838,0.101898,1
3.661602,-0.237283,-1.238687,0.469398,0.675204,-1
-1.92632,0.143899,0.263098,0.092695,-0.023552,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.970694,0.018372,-0.091256,-0.120901,0.301885,1
-0.432749,-0.404894,-1.467246,0.117269,0.233043,1
2.760513,-0.728808,0.267319,-0.497869,0.42529,-1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
5.487833,3.806882,-0.40555,-0.613729,0.626992,-1
1.231815,-0.396465,0.481443,0.887231,1.582085,-1
-1.620845,0.07045,-0.73135,0.054854,-0.103829,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
2.98498,-0.984665,-0.205675,1.149327,1.400957,-1
3.566102,-0.681051,1.389595,1.137609,-0.030604,-1
-2.10753,0.229914,0.523677,0.249432,0.579313,1
2.695028,-0.931454,-1.181469,1.419706,0.74746,-1
-1.798281,0.014603,0.575977,-0.248734,-0.132958,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.711336,0.042722,-0.349783,0.019987,0.021471,1
2.54327,0.418223,-1.437573,2.160277,-0.542097,-1
0.936202,1.500982,-2.152436,-0.366954,-0.062128,-1
3.950913,-0.338756,0.897496,1.328059,0.773127,-1
-1.774454,0.218837,0.311011,0.269937,-0.326478,1
-1.745781,0.086232,-0.736351,-0.011863,-0.058956,1
1.468772,0.227663,0.525734,1.147574,-2.617066,-1
1.113804,-0.917342,0.208109,-1.49599,-0.759043,-1
-1.711336,0.042722,-0.349783,0.019987,0.021471,1
-1.618679,0.057711,-0.749075,0.045971,-0.094062,1
3.432435,1.118732,-0.771109,1.494122,0.690848,-1
-2.068258,0.237998,0.182971,0.097199,-0.12649,1
-1.813726,0.210753,0.651717,0.422171,0.379325,1
-1.512719,0.055478,-0.438586,-0.337628,-0.049272,1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
-2.327617,0.213648,0.441498,-0.043689,0.153924,1
0.705272,-0.050493,-0.435723,1.805461,0.732998,-1
-1.92632,0.143899,0.263098,0.092695,-0.023552,1
-1.711336,0.042722,-0.349783,0.019987,0.021471,1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
3.304024,-0.68882,-1.1863,-0.023041,0.134407,-1
-1.354413,-0.152554,-0.882538,-0.057224,0.169432,1
1.997115,-0.439579,-1.208973,0.285808,1.034841,-1
-1.844235,0.172032,0.025413,-0.102038,-0.099137,1
-2.043741,0.02545,0.601752,-0.052696,0.359801,1
2.483093,0.609696,0.443443,-2.176972,-0.038448,-1
3.252802,-0.977774,0.084368,-0.806506,0.078266,-1
-1.863202,-0.032216,-0.397697,-0.157255,0.324397,1
-1.346702,0.065274,0.031113,0.474013,0.344369,1
-1.941253,0.123796,0.572069,-0.019412,-0.080211,1
-1.970694,0.018372,-0.091256,-0.120901,0.301885,1
-0.84277,0.143499,-1.506931,0.477518,-0.945072,1
2.374376,-0.09975,0.119007,-0.39802,1.37234,-1
1.193617,-0.941337,0.897005,-0.600861,0.961956,-1
-2.068258,0.237998,0.182971,0.097199,-0.12649,1
-1.457131,-0.014319,-0.375232,0.135656,-0.048741,1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
-1.476741,-0.036387,-0.668948,0.041467,0.008876,1
1.878248,-1.197946,0.438603,-0.553776,-0.85698,-1
3.354417,0.790518,0.680382,0.262865,-1.940532,-1
-1.67689,-0.000788,0.036784,0.051838,0.101898,1
0.878505,-0.428034,0.126108,0.595799,0.598202,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.532763,2.353355,-0.023474,-0.482757,0.170884,1
1.041416,-0.246664,-1.712644,0.42124,0.917361,-1
-1.019181,-0.010712,-0.06421,0.748287,1.187882,1
2.286997,-0.59926,-0.777184,2.028386,1.184442,-1
-1.75757,0.11645,0.792237,-0.489135,-0.207613,1
5.843505,-0.529652,0.789472,-0.189756,-0.441244,-1
-1.207325,0.130251,0.492308,-0.108504,-0.076746,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
0.750574,-1.099488,0.535965,-0.9232,-0.321935,-1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
2.331713,-1.424411,0.194958,-0.756752,-0.632018,-1
-1.277017,-0.006767,-0.093414,-0.091629,-0.57956,1
-1.461906,-0.101965,-0.576097,-0.02087,0.146921,1
2.422288,-0.553412,0.373857,-1.583252,1.216352,-1
4.817696,3.855393,-1.799975,-0.049846,-0.159529,-1
2.20817,-0.963382,0.938531,0.692203,-0.391108,-1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
-1.779608,0.137446,0.54409,0.244718,-0.116276,1
-1.691726,0.06479,-0.056067,0.114176,-0.036147,1
-1.336969,-0.117748,-0.571096,0.045846,0.102047,1
-1.056339,-0.146434,0.29916,0.155563,0.342393,1
1.403238,-1.365888,-1.762668,-0.871108,-0.011156,-1
-1.491772,-0.14217,0.041844,-0.245085,0.033602,1
7.059181,3.649366,0.328197,0.295441,0.304644,-1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
-1.584233,0.014201,-0.362508,0.077821,-0.013635,1
