-0.601f03+0.509f01-0.431f04+0.429f02-0.097f05,'-0.718f02+0.636f01+0.23 f04-0.148f03+0.064f05',0.843f05-0.495f04+0.185f03-0.09f02+0.035f01,0.611f04-0.547f03+0.507f05-0.189f01+0.186f02,-0.547f01-0.532f03-0.507f02-0.377f04-0.136f05,class
-1.570657,0.245631,2.242063,0.958441,-0.688963,1
-0.526024,-0.798969,0.311217,-1.503528,0.301178,0
0.85408,0.987015,0.106614,0.053417,0.558835,0
-0.220331,-0.776013,-0.40076,-0.295026,-0.336304,0
-0.546568,0.303791,-0.713367,-0.108585,1.397155,0
-1.715921,0.495439,2.643122,1.543009,-0.336401,1
0.484066,-1.355511,-0.707885,0.055469,-0.187074,0
-0.331025,-1.425739,-0.219028,0.211607,0.000108,0
1.375043,3.272147,0.132239,-0.921829,-0.285725,0
1.161915,2.287081,-0.039783,-0.578695,-0.192847,0
-1.044237,-0.614043,-1.589355,-0.009746,-0.677174,1
-1.705229,0.778456,-1.052394,0.980062,-0.285047,1
1.105904,-0.045612,0.178402,-0.437163,-0.328589,0
-0.221013,-0.992959,-0.262198,0.178727,-0.264766,0
0.685549,2.438473,0.025328,-0.629767,0.315701,0
-1.729101,0.653138,-1.162136,1.235088,-0.056264,0
-0.825888,0.207095,-0.866918,-0.284969,1.077555,0
0.537624,-0.894891,-0.396003,0.031729,-0.232855,0
0.432928,-0.24692,-0.306367,-0.020552,0.405251,0
-1.814713,-0.342375,-0.918751,-0.851173,-0.770024,0
0.075738,-1.340224,-0.42613,0.398284,-0.836957,0
-1.428351,0.649652,-0.99749,1.068121,0.126125,1
-0.380359,-0.327945,-0.445122,-0.551017,-1.062484,1
0.981502,2.0756,0.430996,-1.673232,-0.816477,0
-1.539995,0.127918,-0.764336,-0.689627,-0.129627,0
0.382712,0.589157,0.887472,0.825065,-0.963608,0
1.739952,-0.892833,-0.197803,1.04238,-0.13913,0
1.117728,0.724533,-0.897925,0.184155,-1.200437,0
-1.565865,-0.327189,-0.291141,-0.186732,-0.536732,0
-1.830531,0.409117,1.471845,0.711339,-0.260095,0
1.314006,1.723695,-0.011263,-0.314378,0.123679,0
-1.328586,-0.731989,-0.220932,-0.251549,-0.70262,0
0.469448,0.202833,-1.252316,0.458118,-1.035804,0
-1.605293,-0.142267,-0.322366,0.053569,0.281071,0
-0.647043,-0.510736,2.698882,-0.269474,0.280619,1
-1.619921,0.888434,1.571994,2.519333,0.01287,1
-1.108223,0.441581,-2.453999,0.286938,0.274086,1
-1.105872,0.239515,-0.212503,0.031631,0.70469,1
1.320122,1.397802,0.168594,-0.253016,0.300647,0
-0.235135,0.719581,1.995393,1.174894,-0.886442,1
-1.099107,-0.105849,0.490959,-0.019223,-0.42666,0
1.341208,-0.315096,0.088916,0.314133,0.346876,0
-0.225528,-0.856029,0.406926,-1.799645,-0.629482,1
1.819035,2.568106,0.011537,-0.553366,-0.396658,0
0.829108,-0.954253,0.209913,-1.062716,-0.678573,1
2.039088,-2.123669,-0.460129,0.662001,0.264904,0
1.958559,1.400077,0.092297,-0.732769,-0.958711,0
1.182957,3.006477,0.028668,-0.873848,-0.047381,0
0.229955,-0.916698,0.000723,0.295343,0.071615,0
1.988527,-1.869324,-0.43125,0.589658,0.189315,0
-1.296423,-0.355372,-0.475615,-0.631296,-0.388064,0
1.511774,-0.455685,0.023193,0.932393,0.115881,0
-0.273601,0.357579,1.844162,0.443124,1.614764,1
-0.909263,0.098836,-0.124063,-0.048814,0.746828,0
1.991559,-1.085227,0.219212,0.662944,-0.145514,0
0.766847,-0.594931,-0.647826,0.07507,-1.079595,0
-1.60039,0.934752,1.224227,0.612569,-1.096401,1
1.586168,-0.714071,-0.241316,0.221967,0.238043,0
-0.704521,1.038569,0.488044,-0.352161,3.70727,1
0.495154,-1.414712,0.134081,-0.972302,-0.637277,0
1.243693,2.111792,0.015864,-0.43199,0.200914,0
0.613192,1.594225,-0.88485,-0.212345,-0.986544,0
1.665066,-0.736546,0.17799,0.635515,0.583017,0
-0.336825,-0.562377,0.399039,-1.687008,0.112504,1
-1.024749,0.37571,0.897519,0.755604,0.609653,1
-0.053831,-1.51375,0.234832,-1.500082,-0.461638,0
-1.814704,0.496722,-0.905657,0.846336,0.071279,0
0.783934,0.219901,0.034359,0.078748,1.056737,0
-1.874965,0.413675,1.022269,1.45,-0.629206,0
1.103844,1.597169,-0.111886,-0.250803,0.312418,0
1.333856,-1.482258,0.326108,1.639806,-0.093405,0
-0.735385,0.281667,-0.420292,0.510957,0.96031,1
0.885208,1.182534,0.24292,-0.096126,0.034537,0
-0.339865,-0.563309,-0.099116,0.014829,0.421917,0
1.48188,-1.195011,-0.828057,0.626759,0.129644,0
-1.6364,0.282534,1.812527,0.793287,-0.85059,1
-1.248676,0.008067,-0.099188,-0.238027,0.394168,0
-1.529398,0.18182,0.854859,0.365995,-0.175778,1
1.193548,2.837293,0.250184,-0.512313,0.262157,0
-0.334419,0.565962,0.481003,1.202631,-0.336787,1
-1.613246,0.61629,0.428128,0.446079,-0.636175,1
-0.074806,-1.273066,0.063137,0.494952,-0.510812,0
0.385692,-0.640604,-0.617025,-0.09868,-0.111513,1
1.442754,-0.72163,-0.233129,0.226857,0.507766,0
-1.026874,-0.893682,0.888365,-1.799406,0.111164,0
-0.826252,0.282999,1.48716,1.461542,0.632371,1
-0.629173,-0.122948,-1.743066,-0.146093,0.326618,1
-1.490358,0.490648,-1.636953,0.440013,0.265205,0
-0.306964,0.482693,0.8387,0.99383,-0.20855,1
-0.700029,0.221243,-0.318782,0.337002,0.887262,1
-0.74921,0.141958,-1.706291,-0.529789,0.777319,1
1.519416,3.293128,0.268422,-1.052567,-0.226285,0
0.360796,-0.554139,0.12573,0.004645,-0.249457,0
0.807958,0.347434,-0.10684,-0.115164,1.174585,0
0.49476,1.503428,0.462197,-0.13301,-0.000921,0
-0.189757,0.043226,0.474228,-0.636086,1.727667,0
1.552505,2.149359,0.152786,-0.206849,-0.267215,0
1.372466,-1.329581,-0.742181,0.932645,0.246096,0
-1.945261,0.614276,2.042607,1.110352,-0.829442,1
0.689986,-0.541928,1.635434,2.180476,0.018894,0
2.003814,-1.790203,0.70434,1.165707,-0.215057,0
-1.010181,-0.079261,-0.547746,0.481521,0.085949,0
-0.668872,-0.81443,-0.300546,0.092036,-0.423076,0
-1.467858,0.182163,0.90236,0.341815,-0.104524,1
0.66135,2.279581,0.287039,-0.47272,0.473525,0
-1.736297,0.023516,-0.383804,-0.011821,-0.17247,0
1.666921,-1.751092,-0.367867,0.50646,0.37769,0
-0.394429,-0.389009,1.610947,-0.674855,-0.127197,1
1.317245,1.676666,0.324119,-0.629084,-0.336593,0
-1.175439,-0.721954,-0.983785,-0.26749,-0.754163,1
-1.729259,-0.127624,1.253115,0.674546,-0.864548,1
1.361777,-1.353103,-0.064473,-0.469258,-0.78431,1
1.809121,-0.492542,-0.31263,0.14443,0.52545,0
0.401341,-1.417347,-0.698617,0.060854,-0.539691,0
0.245912,-1.03274,0.403524,-0.700155,0.233711,0
-0.72947,-0.332742,0.802321,-1.636924,0.236091,1
-0.791974,-0.240184,0.349907,0.960919,-0.048073,1
0.847734,1.03202,0.106058,0.109511,0.522026,0
-0.428992,-1.390719,0.353351,-1.832864,-0.336464,0
1.31531,0.204987,0.482114,-0.620641,-1.051761,0
1.388945,0.055458,-0.153138,0.096706,0.513566,0
1.596808,2.018324,0.359565,-0.35382,-0.035359,0
-1.3091,0.448489,-2.751625,0.511047,0.266834,1
0.445028,-1.393927,-0.199043,0.100463,-0.827912,0
-0.270948,-0.813,-0.1783,-0.012894,-0.33904,0
-1.656704,0.385191,1.336951,2.136807,-0.858941,1
-1.033745,-0.070147,-0.502065,-0.249946,0.3577,1
1.148313,1.998936,-0.007067,-0.560153,0.017077,0
-0.353817,-0.327381,0.642024,0.449763,-0.739058,1
-0.022718,-0.123384,0.518109,-0.709682,1.527916,0
-1.116406,0.23414,-2.136465,-0.136225,0.112781,1
-0.13501,-0.767504,0.143702,-1.232573,0.086327,1
-1.054887,-1.028068,0.952344,-2.009868,-0.320472,0
1.925678,-2.015223,-0.462296,0.561682,0.034619,0
-0.87671,-0.84028,0.382347,-2.10287,0.078364,0
1.633037,-1.727904,0.10641,0.867966,0.30681,0
-0.999424,0.862342,-1.404401,1.979805,0.798462,0
2.435813,-2.384787,-0.23306,0.898056,0.052707,0
-1.334805,0.401615,-2.101962,0.467135,0.281805,0
0.676653,1.347855,1.43897,0.656627,-0.490239,0
1.009196,-0.214521,-0.596295,-0.184205,2.75102,1
-0.23845,0.343268,0.288227,-0.556163,1.048409,0
1.566067,2.106836,0.172294,-0.884403,-0.556763,0
1.526044,-0.860015,-0.254328,0.304354,0.604836,0
-0.087038,-0.686935,0.130116,0.215625,0.271533,0
1.395605,-0.034181,2.001461,1.120178,0.101758,0
1.097399,1.508373,-0.717719,-0.059241,-1.054646,0
1.112026,0.306873,-0.275573,0.419098,0.211957,0
0.850745,-0.085965,2.57518,0.988306,-0.417235,0
1.677299,0.060401,-0.153546,0.08844,0.200635,0
0.169943,-0.890889,-1.41112,0.73119,-0.894772,0
-1.200559,0.557733,-2.171136,0.632113,0.47175,1
-1.453164,0.251786,-1.699169,-0.875676,0.007448,1
-0.958449,0.399382,-2.124275,0.02085,0.714043,1
1.823239,0.251047,0.218203,0.202051,-0.15102,0
2.571869,1.816936,0.012254,-0.420589,-1.054711,0
-1.814844,0.119557,-0.754524,0.529459,-0.351017,0
0.495912,-1.244103,-0.189527,0.114895,-0.680769,0
0.200101,-0.168938,0.440572,1.176404,0.875205,0
-1.380496,0.525533,-1.930471,0.470755,0.13353,1
1.618329,-1.843214,-0.266364,1.351421,-0.104547,0
1.694686,-1.516129,-0.84139,1.031754,-0.048221,0
-0.585436,-0.392182,0.410134,-1.74467,0.15941,1
-1.808678,0.637592,-2.675128,0.700594,0.167966,1
1.826267,-0.693569,0.101724,1.037327,-0.491479,0
1.760839,2.420663,-0.073939,-0.438189,-0.397273,0
-0.105176,0.546727,-2.28963,1.342741,1.078973,1
-0.539442,-0.274255,1.936462,-0.41381,-0.00592,1
-1.39032,0.762283,0.754397,1.580808,0.431626,1
0.990231,-0.120656,-0.007274,0.157767,0.786185,0
0.680928,0.667269,0.046021,0.10671,0.814578,0
2.307929,1.5023,-0.027846,-0.372204,-0.610416,0
