-0.348f32-0.348f34-0.32f40-0.317f36-0.312f31...,0.273f21+0.252f56+0.248f23+0.236f53+0.235f09...,-0.445f56-0.372f57-0.292f50-0.285f55+0.248f19...,0.403f43+0.395f37+0.304f39-0.295f22+0.245f41...,'0.535f42+0.332f12+0.31 f29+0.27 f05-0.256f22...',class
0.287898,-1.304791,-0.064908,0.281465,0.770073,0
1.452272,4.714714,-0.205637,1.927694,0.126478,1
1.071932,1.525962,0.22847,0.0583,-0.199642,1
0.607122,-0.041909,-0.313275,-0.318429,-0.19845,1
0.663332,0.398098,-0.652642,-0.481973,-0.050814,1
-0.369134,-1.006814,-0.356133,-0.148502,0.007473,1
0.379989,-2.355763,-1.510669,3.586643,-1.57364,0
-0.059577,0.422947,0.938701,-0.432698,0.36775,1
0.93307,0.554562,1.261439,-0.125555,0.291017,1
1.385043,2.643712,0.363657,0.635016,-0.670346,1
-0.407131,-1.4873,1.42251,-1.754568,5.9682,0
1.140186,1.423981,1.042888,-0.327806,-0.05585,1
-0.169253,1.566926,-1.821342,-0.851156,-0.378142,0
0.57307,1.801612,0.985221,0.709062,0.378935,1
0.395833,-0.37619,0.590234,0.222329,-0.292705,0
-0.268058,-0.597278,1.017119,-0.729131,1.745049,0
0.751163,0.687359,0.383265,1.661439,-0.822623,0
0.785195,0.344821,0.772802,0.013833,-0.181517,1
0.264534,-1.478637,-0.25862,-0.687942,0.208255,0
-1.259295,-1.202567,-0.14889,0.148385,-0.014168,0
0.522884,-1.06106,0.249965,-0.760263,-0.583247,1
0.781037,0.716182,-0.646216,-0.263114,-0.066431,1
0.780446,0.316472,0.733215,-0.020505,-0.135676,1
-1.610713,-0.982035,-0.304922,-0.153301,-0.148957,0
0.322901,-1.381505,-0.4824,-0.164495,-0.181152,0
0.619692,-0.514971,0.557339,0.001833,-0.799928,0
0.057141,-2.396273,0.232014,-1.59418,-1.096931,0
-0.458964,-0.898495,-0.384085,-0.754637,0.458984,1
0.203721,-1.567132,-0.199419,-0.566936,0.342539,0
-4.480224,1.007935,1.14728,-0.191098,-0.331558,0
0.425701,-0.956827,-0.068965,0.460786,-0.378626,0
0.481244,-0.48132,-0.370149,-0.522466,-0.323375,0
