'0.232f04+0.231f11+0.23 f01+0.229f17+0.228f13...','0.43 f02-0.392f10+0.352f19-0.349f20-0.334f17...',0.507f15-0.408f01+0.345f07-0.296f19+0.268f04...,-0.478f07+0.323f20+0.315f12+0.303f16-0.295f18...,0.499f09-0.482f06+0.435f08-0.331f01+0.165f02...,class
3.4364,-0.462319,-0.015327,0.92474,-0.800589,0
2.078775,1.037111,-1.147196,-0.289099,0.438081,0
1.259635,-0.073456,-0.841963,0.709713,-1.117769,0
0.926837,-0.590362,-0.214099,-0.664,1.024893,0
-0.607336,-0.369947,1.198074,0.803441,-0.448149,1
-2.458303,0.388141,-0.268532,-1.032592,-1.15503,1
-0.723828,-1.584555,1.649001,0.41219,-1.232457,1
1.703341,-0.109072,1.520864,1.766014,1.441584,0
-1.358043,0.611962,0.45019,1.245792,-0.5403,1
-1.523407,-1.437601,-1.680702,-1.092026,0.917385,1
0.975644,-0.751495,1.00382,1.380857,-0.029989,0
2.423339,-0.264115,1.586186,-2.203646,-0.61407,0
-1.985168,-0.242009,-1.019826,1.126683,0.899779,1
2.849935,-0.20766,-1.040248,-0.401786,-1.100352,0
-0.16138,-0.154461,1.03536,1.897583,0.210532,1
2.5945,-0.375787,0.821447,0.663804,-0.345708,0
0.837721,0.82541,-0.072095,-0.185113,0.462388,0
-0.775263,-1.272305,0.298421,-0.11712,-0.179712,1
2.311065,-0.599347,-1.447973,0.499223,-0.459902,0
1.055767,-0.828775,0.023772,0.656445,-1.466626,0
-0.836156,-0.814391,-0.834837,0.177485,1.265765,1
1.365416,0.762019,-0.776714,-0.578114,-0.673299,0
-0.379784,-0.400842,0.233006,-0.094419,0.917221,1
-2.230445,1.319389,0.138952,0.442941,-0.429023,1
-2.10774,0.081706,-1.129082,0.610682,-0.271465,1
2.823529,-1.09204,1.211286,1.356993,0.169822,0
-0.456629,-0.292125,0.603373,-0.190016,-0.82569,1
-0.542395,1.633817,0.468455,1.583831,-0.067597,1
2.41451,0.982642,-0.882802,-1.85197,0.796808,0
2.209387,-1.638704,-0.287578,0.366868,-1.199418,0
-2.241887,0.959242,1.280273,0.02862,-0.968611,1
2.454492,-0.696442,0.020407,0.396904,-1.627433,0
-1.081317,-1.388826,0.415516,-0.468329,0.480068,1
0.325695,0.921598,-0.192191,-0.188904,-0.27233,0
1.437665,0.635597,-0.237508,-0.688535,-1.233916,0
-1.056509,0.542307,0.066945,-0.573527,-0.528233,1
-2.308841,0.390004,0.954752,-0.917271,1.057085,1
-1.209842,1.288368,0.863615,0.152278,-0.58689,1
3.086391,0.715535,-0.394684,-0.406062,0.138107,0
2.033459,0.350559,-0.904821,0.498402,-0.155789,0
-1.817456,-0.821365,-1.347173,-0.288844,-0.421713,1
2.297454,0.807416,-0.040587,-0.583991,-0.238564,0
-1.452634,0.004604,-1.481092,-0.514462,0.237476,1
0.602129,0.122815,-0.648049,1.032678,-1.075546,0
2.70511,-0.210436,-0.05629,-0.812575,1.022531,0
0.973217,0.535626,0.141337,0.210111,0.55378,0
-3.335262,0.41256,-0.506195,1.501139,1.679139,1
-1.811144,-1.023052,-1.191956,-0.147046,0.426618,1
0.996299,-0.525857,-0.09514,-0.134512,-1.114314,0
-1.704736,0.92816,0.044809,0.142961,1.051966,1
2.4994,0.09478,0.899314,-0.367659,0.282237,0
2.508521,-0.112596,-0.092064,0.213778,0.546169,0
0.767587,-0.708543,-1.493254,0.783623,0.121555,0
-0.34058,0.49219,0.587451,0.42505,-0.154014,1
-1.442713,0.201482,0.323911,-0.679844,-0.386988,1
3.972452,-0.623923,0.631169,-1.431322,0.200767,0
1.812616,-0.171918,-0.624308,-0.092381,-0.595816,0
-1.102388,0.62685,-0.513657,-0.299055,-0.133435,1
-2.047041,0.738157,1.105367,-0.566158,0.743255,1
-0.416741,1.62778,0.653244,-0.199123,-0.651014,1
0.465912,-0.8569,-0.906618,0.309558,-1.155104,0
-0.05576,-0.829432,-0.654047,2.770703,-0.289883,1
-3.11685,-0.682918,-2.009968,2.121292,-0.380745,1
-0.201225,0.179001,-0.768082,-1.064265,-0.3631,1
1.765437,-2.241942,0.52783,-0.358271,-0.927353,0
-3.022119,-1.025364,-0.153335,0.553901,1.069177,1
-2.143084,0.10473,1.062317,-0.89165,0.741788,1
-2.319212,-0.868141,0.105662,0.751979,0.961257,1
1.980019,-0.483319,0.049651,-0.824027,-1.890692,0
-0.083768,1.645281,-0.153623,0.203067,0.013476,1
2.653626,-0.68172,0.522791,0.727537,0.047,0
2.067302,0.850786,-0.456194,0.889678,-1.702841,0
-0.647258,0.54405,0.189823,0.465692,0.14344,1
0.345486,1.352353,-0.686417,0.468726,-0.312689,0
2.926789,-0.980305,1.07802,-1.362765,-1.60649,0
-1.808488,0.234827,-0.536017,-0.302217,0.325522,1
-2.187021,-0.120391,-0.467804,0.102614,0.341488,1
3.000344,1.234454,-0.327301,-0.774735,-0.640731,0
-2.01964,0.71988,0.841172,0.275828,0.645046,1
-2.326015,-0.934808,-0.418626,0.137975,-1.462633,1
-0.341976,0.807985,0.618631,-0.733961,-0.384494,0
-1.076016,0.250889,1.29444,0.964579,-0.404681,1
-4.201671,-0.433277,-0.754176,-0.181364,-0.29072,1
-1.576599,0.57438,-0.977501,0.001638,-0.385564,1
1.856369,-0.53909,0.101162,0.463667,-0.315433,0
0.397241,0.240866,0.607634,-0.545089,-0.778431,1
2.041218,-0.009085,1.520905,-0.140789,1.136429,0
2.48466,0.374031,1.991599,-2.438643,-0.199932,0
2.242042,0.072466,-1.537293,-0.769654,1.345973,0
-1.774902,0.802358,-0.989904,-0.403612,1.585862,1
2.875393,0.007907,-0.219249,-0.723876,0.066878,0
1.63554,0.139634,0.034312,-0.943656,1.20351,0
-0.09113,1.631096,-0.282512,-0.616261,0.48244,1
0.764487,-1.089685,0.800059,-0.509688,-0.239017,0
-1.981976,0.831849,0.717849,0.287422,1.133577,1
-1.90574,3.017848,1.242769,-0.675706,0.467306,1
3.29217,0.984051,-0.688781,-0.33181,0.124051,0
-0.827908,0.422512,0.255626,0.752551,0.7038,1
0.396827,-0.54565,0.11819,0.734831,-0.705193,1
-0.949322,1.888182,-0.669851,-0.342337,-0.992334,1
2.230916,0.258386,1.507226,1.794367,0.594409,0
-3.626375,-0.062291,0.069435,1.126619,-1.642167,1
3.005672,0.467995,-0.545028,0.921466,0.48334,0
-1.193326,-0.870086,-0.617366,1.116007,0.635535,1
-2.377749,-0.104089,1.563755,-0.190863,0.47113,1
