0.302f19+0.272f01+0.269f03+0.265f20+0.254f16...,'0.485f05+0.428f08+0.33 f10-0.308f06-0.275f18...',-0.491f02-0.445f12+0.359f07+0.282f01+0.232f18...,-0.449f13-0.405f20+0.336f15+0.317f17+0.289f07...,'-0.443f16+0.44 f17+0.325f11-0.314f07-0.312f13...',f21
1.103946,0.280684,0.306144,1.043529,-1.915816,0.0
0.992574,0.457181,0.013795,-0.432791,0.427825,1.0
0.848064,0.003445,0.312696,0.478377,-0.926919,1.0
1.205119,1.431379,-0.87432,-0.765462,-0.026131,1.0
0.974541,-0.604577,-1.034669,0.565879,-0.734077,0.0
-0.116377,1.199709,0.850138,-1.672868,3.227409,0.0
-0.10762,2.501312,0.427348,0.397485,-0.855034,0.0
0.325408,-0.59249,0.615069,0.400247,-0.637584,1.0
1.525009,0.256026,-0.72219,0.86391,-0.23405,1.0
0.287447,-0.748183,-0.113242,0.671232,0.336378,0.0
0.281468,0.032562,0.910085,-0.7037,-2.183783,1.0
-0.262223,-0.292593,-0.581582,0.747451,-0.198398,1.0
-0.878539,-1.734623,0.503212,-1.428127,-0.543471,0.0
0.437862,0.403752,-0.984863,-1.422205,0.116848,0.0
-1.968366,-1.522868,-1.480534,1.120959,-0.949987,0.0
0.821397,0.184727,-0.18596,0.24776,-0.723259,1.0
0.007123,-0.37298,0.876137,0.692027,0.541127,1.0
-0.469034,1.345498,-1.631794,-0.1974,0.16195,0.0
1.136785,0.692923,-0.768774,0.580376,-0.182463,1.0
1.047955,-0.484522,-0.074453,-0.213912,-0.311469,1.0
0.567076,0.406808,2.017131,-0.223026,-0.810216,0.0
-2.333916,-0.492529,-0.844748,1.662877,0.378371,0.0
1.200914,0.249216,-0.887858,0.579549,0.245648,1.0
1.16296,0.398547,1.04581,0.833493,-0.867186,1.0
0.443456,-0.528317,0.302082,-0.530411,-1.004946,1.0
-1.092933,-0.378845,2.03646,-0.210416,1.136334,0.0
1.378134,0.045763,-0.474156,0.467074,-1.19358,1.0
-1.390125,0.687972,1.203104,0.901313,-1.786083,0.0
0.676713,0.413798,-0.306105,1.3652,-1.633541,0.0
-2.675597,-0.659585,-0.164167,1.880533,0.807217,0.0
-0.417009,-1.503007,-1.563334,-0.75506,2.103678,0.0
1.2821,0.628361,-0.474549,0.59946,0.298542,1.0
0.051342,0.217431,1.176431,1.131668,0.109175,0.0
-0.285033,-0.48647,-1.034193,-0.764637,0.289322,1.0
-0.001033,-0.643152,0.436098,1.100934,-0.42668,1.0
0.143821,1.359184,1.881458,-0.552363,-0.262916,0.0
-0.156758,-1.599124,0.327601,0.10474,1.029028,0.0
1.760496,1.059514,0.54968,0.321532,2.513809,0.0
1.518685,-0.399513,-0.144028,-1.008469,0.652465,1.0
-0.698872,1.825001,1.788558,-0.741723,-0.577684,0.0
0.931138,-0.49587,-1.396018,-3.151459,0.531259,0.0
0.860404,-0.885859,-1.242127,-0.032073,-0.908649,1.0
-1.478692,-0.676385,-1.95376,-1.266735,-0.353478,0.0
-3.688216,-1.896752,-0.962553,-1.163272,-1.94997,0.0
0.8025,-0.318493,0.166802,0.0906,0.270449,1.0
-0.203271,-0.312898,0.920041,0.729971,-2.260431,0.0
0.536466,-0.183576,-1.579719,-1.627128,-0.322846,0.0
0.400425,1.547565,0.1101,0.092408,-0.278493,1.0
0.762071,-2.449556,-1.015532,-0.855111,1.107771,0.0
0.181864,-0.129279,-0.412435,0.222676,-0.27657,1.0
0.099639,0.720428,0.245436,0.256143,-1.263387,0.0
0.61903,1.446903,1.948094,0.047623,1.932731,0.0
0.904802,-0.453476,0.118742,0.684489,-0.159517,1.0
0.818415,-0.277272,-0.292695,0.211114,-0.398538,1.0
0.415316,0.792127,-0.187572,0.575282,0.082911,1.0
-3.677591,-0.584413,-1.102774,1.060574,0.189195,0.0
-3.100117,2.197206,0.893976,-1.05404,0.976266,0.0
0.090441,0.362384,0.229776,0.477245,0.339289,1.0
0.871602,2.067411,-0.177379,-0.145647,0.715275,0.0
-2.000735,1.296562,0.426915,-0.977328,-1.169969,0.0
1.214291,1.463363,0.755962,-0.526119,0.370395,1.0
1.363666,-0.191635,-0.764979,1.398745,-0.399032,1.0
-1.098554,-1.378859,-0.311133,2.052294,1.241038,0.0
0.510478,-0.208387,0.311159,1.385928,-1.096792,0.0
0.44228,-0.304222,-0.49237,1.410738,-0.236692,1.0
-1.61558,-0.546633,-0.163704,1.450929,0.609445,0.0
1.509991,1.094268,0.662663,-0.990181,0.43873,1.0
1.59127,0.089191,-0.158776,-0.811156,-0.400827,1.0
0.732269,-0.757258,2.967007,-1.533625,-1.076716,0.0
-1.584941,-0.501824,-0.431568,-0.295409,1.260233,0.0
0.358684,-0.570218,-0.51648,-0.223754,-0.000393,1.0
1.317579,-0.88403,0.116688,0.230764,0.246004,1.0
-0.137152,-0.779898,-2.162862,2.720127,0.774598,0.0
-0.849433,-2.270305,0.510025,-1.211491,0.688283,0.0
-0.973936,1.239309,-3.049697,-0.54266,-1.013777,0.0
0.547968,1.521743,-0.329294,0.495081,-0.665171,1.0
1.325105,0.308716,-0.962366,-0.902098,1.065097,1.0
0.931159,1.368285,-0.443594,1.151075,-0.416783,1.0
0.901144,-0.942433,-0.065088,-0.463036,-0.355447,0.0
-0.978585,-0.080671,-2.254609,1.240638,1.0733,0.0
0.58911,-0.560493,0.827218,-0.414057,-0.817704,1.0
0.229656,1.263896,0.169914,0.316802,-0.841286,1.0
1.863822,0.210788,0.064165,1.94688,-0.039864,1.0
-0.286819,0.231429,-0.666973,0.263596,0.288109,1.0
0.742442,-0.431568,0.527808,-0.207019,-0.17036,1.0
-0.042729,-2.159225,0.063073,0.007698,2.185406,0.0
0.893646,-0.606183,1.098961,0.44193,0.353528,1.0
-3.285415,-2.762561,-0.987265,0.207663,-0.499887,0.0
-2.282731,-0.513709,1.796151,-1.48106,-0.642451,0.0
0.38999,-0.494474,0.189947,-0.787117,0.377394,1.0
-0.623886,0.320743,1.137453,2.500724,-0.925546,0.0
0.340064,0.708711,-0.505373,0.340129,-0.258126,1.0
-1.070152,0.099673,-0.107945,-0.642819,-0.520385,1.0
-0.407587,-0.328139,0.154539,0.686444,0.561328,1.0
0.488142,-0.062473,0.353492,-0.197572,-1.033003,1.0
1.570241,0.485883,-0.225334,-0.164778,-0.236683,1.0
0.263274,-1.295961,-0.09102,0.385501,-0.891926,1.0
-1.450726,1.587345,1.584418,1.341425,0.700787,0.0
0.25328,-0.318013,-0.790435,-0.603549,-1.665027,0.0
-2.792662,-1.927087,-0.075238,0.94857,1.302726,0.0
-0.357021,0.233059,-0.587487,-0.182563,0.098486,1.0
-2.126183,0.303914,-0.063502,0.733034,-0.054485,0.0
0.603735,0.592928,-1.312015,-0.669242,0.295582,0.0
0.452456,1.872301,-1.620241,-1.700655,-1.887145,0.0
-0.501865,1.331367,4.479811,0.951239,2.273147,0.0
-0.119847,-1.384558,0.543884,-0.937801,-0.794233,0.0
0.315726,-1.803979,1.949496,1.936505,0.969722,0.0
0.130962,-0.505289,0.368117,0.848573,0.121243,1.0
1.074637,-0.940749,-0.762563,0.409551,2.197875,1.0
