'0.262f10+0.26 f09+0.257f07+0.255f04+0.254f13...',-0.553f01-0.395f03-0.349f02+0.311f18+0.249f17...,-0.466f18+0.428f21+0.353f17+0.349f20+0.268f02...,0.308f05-0.304f12-0.287f18+0.274f15+0.258f08...,'0.46 f20+0.391f18-0.345f17+0.308f21+0.286f03...',class
2.091231,1.546626,-1.261822,-0.837845,0.725003,1
4.69724,1.331167,-1.054938,-2.134246,1.174883,1
3.842724,1.42256,-1.820279,-1.160932,1.262308,1
4.124156,1.577852,-1.384472,-1.459436,1.402038,1
5.675083,1.14736,-2.414801,-1.341338,0.847754,1
3.068381,1.613793,-1.829359,-0.966102,1.482678,1
-1.978266,2.01516,-0.312089,0.209199,0.075118,1
-2.35762,2.030985,-0.449869,0.205158,-0.666911,1
-0.205082,2.510608,0.164473,0.46164,0.504605,1
0.477975,2.602349,-0.097414,-0.311476,0.917462,1
0.065906,2.998741,0.584216,0.239909,0.892401,1
0.692162,2.795634,0.480526,-0.208163,1.113904,1
-3.258798,-0.037873,-0.058699,0.641752,-0.846947,1
-1.881038,0.680575,1.023385,0.71821,0.307207,1
-2.415312,0.477422,0.667695,0.426158,-0.884788,1
-1.925456,0.914376,1.184493,1.134466,-0.377146,1
-0.927404,0.071483,1.69539,1.412863,-0.27749,1
2.257342,1.070235,4.018208,0.626292,1.437858,1
4.1942,1.22467,2.394496,-1.557453,0.386235,1
2.335931,0.2927,1.891237,-0.463524,0.673271,1
2.568627,1.236925,1.629378,0.266497,-0.002248,1
1.229614,0.734059,1.431439,-1.12377,-0.917333,1
1.451493,0.561064,2.223438,-1.167039,-0.241042,1
0.837032,-0.034283,1.125834,-1.103832,-0.762498,1
-0.902588,0.217047,0.017502,1.228326,1.137899,1
1.193517,0.954108,0.452902,-0.235318,-0.010616,1
-1.781882,-0.029235,0.346901,0.348788,0.471076,1
-1.873497,0.130851,-0.456748,0.475591,0.320258,1
-2.635645,0.042519,0.8037,0.418276,-0.254508,1
-2.189477,0.180121,-0.604718,0.66355,-0.222163,1
-3.978659,-1.28347,-1.419877,-0.158404,0.30484,-1
-4.351433,-1.445464,-1.130104,-0.236462,0.593704,-1
-4.193644,-1.014801,-1.49396,-0.236171,0.114883,-1
-4.986733,-1.440898,-1.94352,-0.25158,0.44761,-1
-5.206313,-1.592717,-2.291968,-0.246236,0.278664,-1
-4.391796,-1.881332,-1.074764,-0.621764,1.076456,-1
-1.812954,-0.687858,-0.836707,-0.855677,1.383018,1
-2.22547,-0.527512,-0.917572,-0.701646,1.579252,1
-3.022027,-0.580049,-0.808389,-0.443391,1.221221,1
-2.517913,-0.549112,-0.325123,-0.562323,1.663728,1
-3.103758,-1.013233,-1.070213,-0.583391,1.429947,1
-3.671465,-1.404092,-1.562054,-0.544281,0.455796,1
-3.34002,-3.622652,-0.506168,-0.577421,0.206871,-1
-3.018946,-3.104883,0.338926,-0.420264,0.015293,-1
-3.812748,-3.345719,0.067892,-0.291677,-0.160432,-1
-3.64565,-3.27996,0.141419,-0.315141,-0.044847,-1
-3.442165,-3.360698,0.425335,-0.37833,-0.104153,-1
-3.867443,-2.262236,1.074871,0.154074,-0.585274,-1
-1.963767,1.333793,-0.109053,0.340327,-0.321901,-1
-2.338881,1.385866,-0.358379,-0.076654,-0.10685,-1
-2.108461,1.330169,-0.890409,-0.462912,-0.481851,-1
