0.202f41+0.201f45+0.199f46+0.198f42+0.189f39...,0.238f16+0.238f15+0.232f14+0.222f17+0.217f19...,'0.24 f27+0.233f28+0.227f26+0.227f47-0.216f36...','0.344f10+0.335f09+0.321f11+0.263f08+0.24 f12...','0.296f22+0.252f21+0.25 f23+0.222f40+0.218f20...',class
1.916544,-1.367594,-1.662465,0.835897,1.054779,-1
-0.478969,7.56813,-1.272664,3.850057,-2.116007,-1
3.84994,6.424361,-0.030561,5.441471,-1.548325,-1
4.586355,-3.096618,-1.781047,-1.113223,2.778824,-1
-0.532583,1.845395,-0.858027,3.294128,-2.802194,-1
-1.244015,3.776373,-1.930159,3.031939,-0.541606,-1
1.865572,2.489504,-1.573773,-1.678786,-0.238433,-1
-2.052746,2.309179,-0.248359,-0.362431,0.150934,-1
-1.641602,0.253111,-0.15388,-1.835107,0.792358,-1
-4.270355,-2.421975,0.889911,-2.20761,-1.341132,-1
-1.458126,-6.307838,-2.155216,0.39023,-1.622934,-1
-2.458019,-1.250746,-1.476133,-1.660579,-0.450657,-1
-3.985854,1.641103,-1.991016,-2.337492,1.581232,-1
0.635548,-0.635883,-1.432574,0.141142,-0.634112,-1
-0.105139,-0.251497,-2.570855,-1.056347,0.369083,-1
2.107339,0.592506,-2.517964,0.847103,-1.195289,-1
4.38517,-2.252057,-0.352324,-0.147098,0.434065,-1
1.435134,1.897612,-2.989812,-2.76986,2.204793,-1
-1.036932,-3.286435,-1.174782,0.773014,0.139802,-1
-1.162055,8.575861,0.079853,4.212338,-0.355499,-1
2.641752,1.664023,-2.187703,3.449831,1.357327,-1
6.22035,-1.470343,-3.655408,1.947693,1.130715,-1
11.206859,-2.74946,-0.03207,-1.523339,2.343924,-1
-0.246727,-4.851811,-0.903039,0.587704,-0.691852,-1
2.645167,-4.388758,-4.149197,-0.843685,-0.819856,-1
-0.421023,-7.151014,-0.260716,-0.091188,0.883973,-1
-3.690297,2.487926,-1.422605,-1.161016,0.494189,-1
-2.898899,0.163169,1.142575,-1.031973,-1.025627,-1
-1.891206,1.494257,-2.084064,-0.430365,2.191776,-1
-2.383054,1.374836,-0.741053,0.70787,-2.46123,-1
-2.314924,-1.195343,0.408437,-1.081653,-0.577348,-1
-3.497288,-0.579463,-1.252669,-1.439168,-1.565034,-1
0.043118,0.365464,-2.690343,-1.279417,1.386749,-1
1.026728,0.065718,-0.792062,-1.628247,2.01657,-1
-0.687374,1.115325,-2.296624,-0.341559,-1.360197,-1
-1.929077,0.628868,-0.719833,-1.099708,-2.474301,-1
0.2674,-3.410892,-2.324147,-1.582547,0.480173,-1
-2.118229,-4.493589,-0.58361,-0.212042,-1.215105,-1
-2.580324,-4.926027,-0.822083,-0.935475,-2.729009,-1
0.1598,-3.827296,-1.471714,-1.088421,-0.519391,-1
-0.884016,-3.467527,-0.35554,0.197043,-2.957806,-1
-1.593806,-4.404205,-2.700747,0.31648,-1.146728,-1
1.480038,-4.346613,-2.177258,0.789123,1.552213,-1
1.443495,-2.285614,-2.055312,1.774892,1.430356,-1
8.466255,-2.306643,0.042076,-2.185657,3.096566,-1
1.274303,0.931956,-1.773626,-0.420424,3.12939,-1
0.088333,2.803749,-2.26001,0.518829,3.48117,-1
